#,Category,Subcategory,Difficulty,Question,Answer,Verified
1,Dictionary Skills,Alphabetical Order,Easy,Which comes first alphabetically: pickle or pillow?,pickle,y
2,Dictionary Skills,Alphabetical Order,Easy,"Which comes first alphabetically: monster, monkey, or month?",monkey,y
3,Dictionary Skills,Alphabetical Order,Medium,"Which comes last alphabetically: snail, snap or snake?",snap,y
4,Dictionary Skills,Guide Words,Easy,"If the guide words are camouflage - carbon, which belongs on the page: camel or ceiling?",camel,y
5,Dictionary Skills,Guide Words,Easy,"If the guide words are flammable - fluster, which belongs on the page: flower or forest?",flower,y
6,Dictionary Skills,Guide Words,Medium,"If the guide words are modern – moratorium, which belongs on the page: mirror or monster?",monster,y
7,Reference,Water Cycle,Easy,Find the Water Cycle section. How many main processes are in the water cycle?,3,y
8,Reference,Specifications of the Earth,Easy,Find Specifications of the Earth. What percentage of Earth is water?,71%,y
9,Reference,Specifications of the Earth,Medium,Find the Iceberg Classification chart in Specifications of the Earth. What is the smallest type of iceberg called?,Growler,y
10,Word Hunt,Animal Diets,Easy,Look up herbivorous. What does a herbivore eat?,plants,y
11,Word Hunt,Animal Diets,Easy,Look up carnivore. What does a carnivore eat?,meat,y
12,Word Hunt,Animal Diets,Easy,Look up omnivore. What types of foods are listed in the definition?,2,y
13,Word Hunt,Number Words,Easy,Look up decade. How many years is a decade?,10,y
14,Word Hunt,Number Words,Easy,Look up century. How many years is a century?,100,y
15,Word Hunt,Number Words,Easy,Look up dozen. How many is a dozen?,12,y
16,Word Hunt,People & Jobs,Easy,Look up botanist. What does a botanist study?,plants,y
17,Word Hunt,People & Jobs,Hard,Look up ornithologist. What does an ornithologist study?,birds,y
18,Word Hunt,People & Jobs,Medium,Look up astronomer. What does an astronomer study?,stars,y
19,Word Hunt,Interesting Animals,Easy,Look up aardvark. What does it use to sniff out food?,snout,y
20,Word Hunt,Interesting Animals,Easy,Look up porcupine. What covers its body for protection?,spikes,y
21,Word Hunt,Interesting Animals,Easy,Look up walrus. What are its long teeth called?,tusks,y
22,Word Hunt,Unusual Animals,Easy,Look up skunk. What kind of animal is a skunk?,rodent,y
23,Word Hunt,Unusual Animals,Easy,Look up bison. The bison is native to Europe and what other continent?,North America,y
24,Word Hunt,Unusual Animals,Hard,Look up duck. It is both a noun and a verb. The verb means to dodge. What type of animal is the noun?,bird,y
25,Word Hunt,Fun Words,Easy,Look up prank. A prank is a playful what?,trick,y
26,Word Hunt,Fun Words,Easy,Look up squirm. What does someone who is squirming do?,wiggle,y
